rank,card_name,advertised_offer,sign_up_bonus,spending_requirement,annual_fee,estimated_first_year_value_usd,point_value_assumption,notable_credits_or_notes,source,source_url,source_checked
11,Chase Ink Unlimited,Chase Ink Unlimited 100k Offer,"100,000 Ultimate Rewards (UR) Points","$8,000 in 3 months",$0 annual fee,1600,1.6 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
12,Chase United Business,Chase United Business 110k Offer,"110,000 UA Miles","$5,000 in 3 months","$150 annual fee, waived for the first year",1540,1.4 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
13,Capital One Venture Business,Capital One Venture Business 100k Offer,"100,000 Capital One (C1) Points","$10,000 in 3 months","$95 annual fee, NOT waived for the first year",1505,1.6 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
14,Chase Ink Preferred,Chase Ink Preferred 100k Offer,"100,000 Ultimate Rewards (UR) Points","$8,000 in 3 months","$95 annual fee, NOT waived for the first year",1505,1.6 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
15,Chase Sapphire Preferred,Chase Sapphire Preferred 100k Offer,"100,000 Ultimate Rewards (UR) Points","$5,000 in 3 months","$95 annual fee, NOT waived for the first year",1505,1.6 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
16,AmEx Gold,AmEx Gold 100k Offer,"100,000 Membership Rewards (MR) Points","$6,000 in 6 months","$325 annual fee, NOT waived for the first year",1419,1.6 cents/point,"$144 (estimated value) of various credits ($120 face value for dining credit, $120 face value for Uber credit, and actual value is estimated by 60% of face value) once in the first year.",US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
17,Chase Sapphire Reserve,Chase Sapphire Reserve 100k Offer,"100,000 Ultimate Rewards (UR) Points","$6,000 in 3 months","$795 annual fee, NOT waived for the first year",1405,1.6 cents/point,$600 travel credit (easy $300) plus ($300 estimated value) of various credit once in the first year.,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
18,BoA Alaska Atmos Ascent,BoA Alaska Atmos Ascent 85k Offer,"85,000 AS Miles","$4,500 in 3 months","$95 annual fee, NOT waived for the first year",1265,1.6 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
19,BoA Alaska Atmos Business,BoA Alaska Atmos Business 85k Offer,"85,000 AS Miles","$5,500 in 3 months","$95 annual fee, NOT waived for the first year",1265,1.6 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
20,BoA Alaska Atmos Summit,BoA Alaska Atmos Summit 100k Offer,"100,000 AS Miles","$6,000 in 3 months","$395 annual fee, NOT waived for the first year",1205,1.6 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
21,Citi Strata Elite,Citi Strata Elite 75k Offer,"75,000 ThankYou Points (TYP)","$6,000 in 3 months","$595 annual fee, NOT waived for the first year",1205,1.6 cents/point,"$300 (estimated value) of hotel credit plus Splurge credit ($300+$200 face value, and actual value is estimated by 60% of face value) twice in the first year.",US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
22,Citi AAdvantage Platinum Select,Citi AAdvantage Platinum Select 75k Offer,"75,000 AA Miles","$3,500 in 4 months","$99 annual fee, waived for the first year",1125,1.5 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
23,Capital One Venture,Capital One Venture 75k Offer,"75,000 Capital One (C1) Points","$4,000 in 3 months","$95 annual fee, NOT waived for the first year",1105,1.6 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
24,Capital One Venture X,Capital One Venture X 75k Offer,"75,000 Capital One (C1) Points","$4,000 in 3 months","$395 annual fee, NOT waived for the first year",1105,1.6 cents/point,$300 Travel Credit once in the first year.,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
25,AmEx Delta SkyMiles Gold,AmEx Delta SkyMiles Gold 90k Offer,"90,000 DL Miles","$5,000 in 6 months","$150 annual fee, waived for the first year",1080,1.2 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
26,AmEx Delta SkyMiles Gold Business,AmEx Delta SkyMiles Gold Business 90k Offer,"90,000 DL Miles","$6,000 in 6 months","$150 annual fee, waived for the first year",1080,1.2 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
27,Chase Southwest Airlines Premier,Chase Southwest Airlines Premier 85k Offer,"85,000 WN Miles","$2,000 in 3 months","$99 annual fee, NOT waived for the first year",1006,1.3 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
28,Capital One Spark Cash,Capital One Spark Cash 100k Offer,"1,000","$10,000 in 3 months","$95 annual fee, waived for the first year",1000,1 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
29,Citi AAdvantage Globe,Citi AAdvantage Globe 90k Offer,"90,000 AA Miles","$5,000 in 4 months","$350 annual fee, NOT waived for the first year",1000,1.5 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
30,Chase Marriott Bonvoy Boundless,Chase Marriott Bonvoy Boundless 125k + 1FN Offer,"125,000 Marriott Bonvoy (MB) Points + 1 Free Nights (up to 50k) which is worth about $210","$3,000 in 3 months","$95 annual fee, NOT waived for the first year",990,0.7 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
31,Chase Southwest Airlines Priority,Chase Southwest Airlines Priority 90k Offer,"90,000 WN Miles","$3,000 in 3 months","$229 annual fee, NOT waived for the first year",986,1.3 cents/point,"$45 Southwest Credit (face value is $75, actual value is estimated by 60% of face value) once in the first year.",US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
32,Chase Aer Lingus,Chase Aer Lingus 90k Offer,"90,000 BA Miles","$5,000 in 3 months","$95 annual fee, NOT waived for the first year",985,1.2 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
33,Chase British Airways,Chase British Airways 90k Offer,"90,000 BA Miles","$5,000 in 3 months","$95 annual fee, NOT waived for the first year",985,1.2 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
34,Chase Iberia,Chase Iberia 90k Offer,"90,000 BA Miles","$5,000 in 3 months","$95 annual fee, NOT waived for the first year",985,1.2 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
35,CitiBusiness AAdvantage Platinum Select,CitiBusiness AAdvantage Platinum Select 65k Offer,"65,000 AA Miles","$4,000 in 4 months","$99 annual fee, waived for the first year",975,1.5 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
36,AmEx Marriott Bonvoy Bevy,AmEx Marriott Bonvoy Bevy 175k Offer,"175,000 Marriott Bonvoy (MB) Points","$5,000 in 6 months","$250 annual fee, NOT waived for the first year",974,0.7 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
37,Wells Fargo Premier Autograph,Wells Fargo Premier Autograph 100k Offer,"100,000 Wells Fargo Points","$4,000 in 3 months","$95 annual fee, NOT waived for the first year",955,1 cents/point,$50 Airline Credit once in the first year.,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
38,Chase Southwest Airlines Plus,Chase Southwest Airlines Plus 80k Offer,"80,000 WN Miles","$3,000 in 3 months","$99 annual fee, NOT waived for the first year",941,1.3 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
39,AmEx Marriott Bonvoy Business,AmEx Marriott Bonvoy Business 5FN Offer,"5 Free Nights which is worth about $1,050","$9,000 in 6 months","$125 annual fee, NOT waived for the first year",925,0.7 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
40,Citi AAdvantage Executive,Citi AAdvantage Executive 100k Offer,"100,000 AA Miles","$10,000 in 3 months","$595 annual fee, NOT waived for the first year",905,1.5 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
41,Citi Strata Premier,Citi Strata Premier 60k Offer,"60,000 ThankYou Points (TYP)","$4,000 in 3 months","$95 annual fee, NOT waived for the first year",865,1.6 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
42,Barclays JetBlue Business,Barclays JetBlue Business 80k Offer,"80,000 B6 Miles","$6,000 in 12 months","$99 annual fee, NOT waived for the first year",861,1.2 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
43,AmEx Delta SkyMiles Platinum,AmEx Delta SkyMiles Platinum 100k Offer,"100,000 DL Miles","$6,000 in 6 months","$350 annual fee, NOT waived for the first year",850,1.2 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
44,AmEx Delta SkyMiles Platinum Business,AmEx Delta SkyMiles Platinum Business 100k Offer,"100,000 DL Miles","$8,000 in 6 months","$350 annual fee, NOT waived for the first year",850,1.2 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
45,AmEx Delta SkyMiles Reserve,AmEx Delta SkyMiles Reserve 125k Offer,"125,000 DL Miles","$9,000 in 6 months","$650 annual fee, NOT waived for the first year",850,1.2 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
46,AmEx Delta SkyMiles Reserve Business,AmEx Delta SkyMiles Reserve Business 125k Offer,"125,000 DL Miles","$15,000 in 6 months","$650 annual fee, NOT waived for the first year",850,1.2 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
47,Chase United Club Business,Chase United Club Business 110k Offer,"110,000 UA Miles","$5,000 in 3 months","$695 annual fee, NOT waived for the first year",845,1.4 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
48,Chase Southwest Airlines Performance Business,Chase Southwest Airlines Performance Business 80k Offer,"80,000 WN Miles","$5,000 in 3 months","$199 annual fee, NOT waived for the first year",841,1.3 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
49,Chase United Explorer,Chase United Explorer 60k Offer,"60,000 UA Miles","$3,000 in 3 months","$150 annual fee, waived for the first year",840,1.4 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
50,BoA Premium Rewards Elite,BoA Premium Rewards Elite 75k Offer,"75,000 BoA Points","$5,000 in 3 months","$550 annual fee, NOT waived for the first year",830,1 cents/point,$315 airline incidental fee credit and lifestyle credit (estimated value is 70% of face value) twice in the first year.,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
51,Chase IHG Premier,Chase IHG Premier 185k Offer,"185,000 IHG Points","$6,000 in 3 months","$99 annual fee, NOT waived for the first year",826,0.5 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
52,Barclays Wyndham Earner Premier,Barclays Wyndham Earner Premier 120k Offer,"120,000 Wyndham Points","$6,000 in 4 months","$395 annual fee, NOT waived for the first year",805,1 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
53,Chase Ink Premier,Chase Ink Premier 100k Offer,"1,000","$10,000 in 3 months","$195 annual fee, NOT waived for the first year",805,1 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
54,Barclays JetBlue Plus,Barclays JetBlue Plus 75k Offer,"75,000 B6 Miles","$1,000 in 3 months","$99 annual fee, NOT waived for the first year",801,1.2 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
55,Synchrony Virgin Red Rewards,Synchrony Virgin Red Rewards 60k Offer,"60,000 VS Miles","$3,000 in 3 months","$99 annual fee, NOT waived for the first year",801,1.5 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
56,Capital One VentureOne Business,Capital One VentureOne Business 50k Offer,"50,000 Capital One (C1) Points","$4,500 in 3 months",$0 annual fee,800,1.6 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
57,Chase World of Hyatt Business,Chase World of Hyatt Business 60k Offer,"60,000 Hyatt Points","$5,000 in 3 months","$199 annual fee, NOT waived for the first year",761,1.6 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
58,AmEx Hilton Aspire,AmEx Hilton Aspire 175k Offer,"175,000 Hilton Points","$6,000 in 6 months","$550 annual fee, NOT waived for the first year",760,0.4 cents/point,"Weekend Free Night for the first year, worth about $250.; $360 (estimated value) of Air Credit plus Hilton resort credit ($200+$400 face value, and actual value is estimated by 60% of face value) once in the first year.",US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
59,BoA Air France KLM,BoA Air France KLM 70k Offer,"70,000 AF Miles","$3,000 in 3 months","$89 annual fee, NOT waived for the first year",751,1.2 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
60,AmEx Marriott Bonvoy Brilliant,AmEx Marriott Bonvoy Brilliant 200k Offer,"200,000 Marriott Bonvoy (MB) Points","$6,000 in 6 months","$650 annual fee, NOT waived for the first year",750,0.7 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
61,Capital One Spark Cash Select,Capital One Spark Cash Select 75k Offer,750,"$6,000 in 3 months",$0 annual fee,750,1 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
62,US Bank Business Altitude Connect,US Bank Business Altitude Connect 75k Offer,"75,000 US Bank Altitude Go/Connect Points","$6,000 in 6 months","$95 annual fee, waived for the first year",750,1 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
63,US Bank Business Leverage,US Bank Business Leverage 75k Offer,750,"$7,500 in 3 months","$95 annual fee, waived for the first year",750,1 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
64,US Bank Triple Cash Business,US Bank Triple Cash Business 75k Offer,750,"$6,000 in 3 months",$0 annual fee,750,1 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
65,Chase Aeroplan,Chase Aeroplan 60k Offer,"60,000 AC Miles","$3,000 in 3 months","$95 annual fee, NOT waived for the first year",745,1.4 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
66,BoA Premium Rewards,BoA Premium Rewards 60k Offer,"60,000 BoA Points","$4,000 in 3 months","$95 annual fee, NOT waived for the first year",705,1 cents/point,$100 airline incidental fee credit twice in the first year.,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
67,Barclays Wyndham Earner Plus,Barclays Wyndham Earner Plus 75k Offer,"75,000 Wyndham Points","$2,000 in 3 months","$69 annual fee, NOT waived for the first year",681,1 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
68,Chase Southwest Airlines Premier Business,Chase Southwest Airlines Premier Business 60k Offer,"60,000 WN Miles","$3,000 in 3 months","$99 annual fee, NOT waived for the first year",681,1.3 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
69,Chase United Quest,Chase United Quest 70k Offer,"70,000 UA Miles","$4,000 in 3 months","$350 annual fee, NOT waived for the first year",630,1.4 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
70,Chase IHG Traveler,Chase IHG Traveler 125k Offer,"125,000 IHG Points","$4,000 in 3 months",$0 annual fee,625,0.5 cents/point,,US Credit Card Guide,https://www.uscreditcardguide.com/best-credit-card-sign-up-bonus/,2026-06-19
71,Discover it,Discover it – $200 Bonus + Double Rewards First Year,$200 Bonus,,,,,Read our review Card earns 5% in rotating categories and this is doubled first year. Means you can get up to $950 if you max out those categories for five quarters.,Doctor of Credit,https://www.doctorofcredit.com/best-current-credit-card-sign-bonuses/,2026-06-19
72,U.S. Bank Amazon Prime Business $200-$750,U.S. Bank Amazon Prime Business $200-$750,$200,"$6,000 spend",No annual fee,,,"Read our review Some have an offer for $750 after $6,000 spend. Others see $200 or $250 with no spend. No annual fee.",Doctor of Credit,https://www.doctorofcredit.com/best-current-credit-card-sign-bonuses/,2026-06-19
73,Wells Fargo Autograph Journey,"Wells Fargo Autograph Journey – 60,000 Points","60,000 Points","$4,000 spend within 3 months",$95 annual fee,,,"Read our review 60,000 points signup bonus on the Wells Fargo Autograph Journey after $4,000 spend in 3 months. Card has $95 annual fee and also a $50 airline credit.",Doctor of Credit,https://www.doctorofcredit.com/best-current-credit-card-sign-bonuses/,2026-06-19
74,Capital One Savor,Capital One Savor – $250,$250,,No annual fee,,,Read our review Get $250 after spending $500 within 3 months on the Capital One Savor. No annual fee. Also: 0% intro APR for 12 months on purchases.,Doctor of Credit,https://www.doctorofcredit.com/best-current-credit-card-sign-bonuses/,2026-06-19
75,Barclays Priceline,Barclays Priceline – $250,$250,$500 spend,No annual fee,,,"Read our review Get $200 on the Barclaycard Priceline VIP Rewards visa card after you make any purchase, no minimum spend required. Get an additional 5,000 points ($50) after $500 spend. No annual fee.",Doctor of Credit,https://www.doctorofcredit.com/best-current-credit-card-sign-bonuses/,2026-06-19
76,Wells Fargo Expedia One Key $600,Wells Fargo Expedia One Key $600,$600,,,,,Read our review This isn’t $600 in cash but OneKeyCash.,Doctor of Credit,https://www.doctorofcredit.com/best-current-credit-card-sign-bonuses/,2026-06-19
77,"Wells Fargo Choice Privileges 60,000 Points","Wells Fargo Choice Privileges 60,000 Points","60,000 Points",,,,,Read our review Good bonus if you can make good use of the Choice points.,Doctor of Credit,https://www.doctorofcredit.com/best-current-credit-card-sign-bonuses/,2026-06-19
78,Lafayette Federal Credit Union Mastercard,"Lafayette Federal Credit Union Mastercard – $600 or $650 In Flights – MD, D.C., VA",$600,,,,,"Read our review 50,000 points after $5,000 in spend. Worth $600 in gift cards or $650 in flights",Doctor of Credit,https://www.doctorofcredit.com/best-current-credit-card-sign-bonuses/,2026-06-19
79,PenFed Pathfinder Rewards,"PenFed Pathfinder Rewards – 50,000 Points + $50","50,000 Points",,,,,"Read our review of the offer Card also comes with a $100 airline credit, honors members don’t have to pay any annual fee making the card worth keeping long term.",Doctor of Credit,https://www.doctorofcredit.com/best-current-credit-card-sign-bonuses/,2026-06-19
80,Fremont Bank Personal World Mastercard $500 Bonus,Fremont Bank Personal World Mastercard $500 Bonus,$500 Bonus,,,,,"Read our review of this offer Only requires $5,000 in spend as well which is nice.",Doctor of Credit,https://www.doctorofcredit.com/best-current-credit-card-sign-bonuses/,2026-06-19
81,Northwest Federal Credit Union $500,Northwest Federal Credit Union $500,$500,,,,,Read our review Might need to join a foundation for $10 to make it nationwide.,Doctor of Credit,https://www.doctorofcredit.com/best-current-credit-card-sign-bonuses/,2026-06-19
82,Wescom Credit Union,Wescom Credit Union – $500 Bonus – CA only,$500 Bonus,,,,,"Read our review Only requires $2,500 in spend.",Doctor of Credit,https://www.doctorofcredit.com/best-current-credit-card-sign-bonuses/,2026-06-19
83,"U.S. Bank Altitude Connect 30,000 ($300)","U.S. Bank Altitude Connect 30,000 ($300)",$300,,no annual fee,,,"Read our review Bonus is now 30,000 points when you spend $1,000 in 90 days. Card has no annual fee.",Doctor of Credit,https://www.doctorofcredit.com/best-current-credit-card-sign-bonuses/,2026-06-19
84,Citi Double Cash $200,Citi Double Cash $200,$200,"$1,500 spend within the first 6 months",No annual fee,,,"Read our review No annual fee. $200 bonus after $1,500 spend within the first 6 months.",Doctor of Credit,https://www.doctorofcredit.com/best-current-credit-card-sign-bonuses/,2026-06-19
85,Wells Fargo Active Cash $200 Bonus,Wells Fargo Active Cash $200 Bonus,$200 Bonus,"$1,500 spend within 6 months",No annual fee,,,"Read our review of this offer No annual fee. $200 bonus requires $1,500 spend within 6 months. A lot of people will find this card useful for the long haul, as well.",Doctor of Credit,https://www.doctorofcredit.com/best-current-credit-card-sign-bonuses/,2026-06-19
86,U.S. Bank Shopper Cash Rewards $250 Bonus,U.S. Bank Shopper Cash Rewards $250 Bonus,$250 Bonus,"$2,000 spend within 120 days",$95 annual fee,,,"Read our review $95 annual fee is waived the first year. $250 cash signup bonus requires $2,000 spend within 120 days.",Doctor of Credit,https://www.doctorofcredit.com/best-current-credit-card-sign-bonuses/,2026-06-19
87,Ridgewood Savings Bank $500 Bonus – NY & CT,Ridgewood Savings Bank $500 Bonus – NY & CT,$500 Bonus,,,,,"Read our review Nice big bonus, spend of requirement of $5,000 is required. They also offer business cards now as well (see below)",Doctor of Credit,https://www.doctorofcredit.com/best-current-credit-card-sign-bonuses/,2026-06-19
88,American Express Delta Gold,"American Express Delta Gold – 50,000 Miles + $400 Statement Credit","50,000 Miles",,,,,"Read our review Has been as high as 70,000 miles + $200 statement credit or 90,000 miles. Some people will prefer the higher $400 statement credit offer.",Doctor of Credit,https://www.doctorofcredit.com/best-current-credit-card-sign-bonuses/,2026-06-19
89,American Express Blue Cash Preferred $300 + Waived Fee,American Express Blue Cash Preferred $300 + Waived Fee,$300,"$3,000 spend",,,,"Read our review Without a referral link the offer is for $250. With a referral link some people sometimes see $300. Annual fee is waived the first year with this offer. There is a $3,000 spend requirement.",Doctor of Credit,https://www.doctorofcredit.com/best-current-credit-card-sign-bonuses/,2026-06-19
90,Citi AT&T Points Plus,Citi AT&T Points Plus – $250 Cash Bonus,$250 Cash,$500 spend,No annual fee,,,Read our review $250 cash signup bonus with $500 spend requirement. No annual fee.,Doctor of Credit,https://www.doctorofcredit.com/best-current-credit-card-sign-bonuses/,2026-06-19
91,Chase Freedom Unlimited $200,Chase Freedom Unlimited $200 – 5% On Gas & Grocery First Year – In Branch Only,$200,,,,,Read our review Unfortunately this is only available in branch.,Doctor of Credit,https://www.doctorofcredit.com/best-current-credit-card-sign-bonuses/,2026-06-19
92,American Express Blue Cash Everyday $250,American Express Blue Cash Everyday $250,$250,"$2,000 spend within 6 months for the $200/$250 bonus",No annual fee,,,"$250 Bonus | $200 + 10% ($150) Bonus Requires $2,000 spend within 6 months for the $200/$250 bonus. No annual fee. The second link, above, gives $200 + 10% back on Dining up to $150 back.",Doctor of Credit,https://www.doctorofcredit.com/best-current-credit-card-sign-bonuses/,2026-06-19
93,Bank of America Personal Unlimited Cash Rewards $200 Bonus & .5% (3.12%),Bank of America Personal Unlimited Cash Rewards $200 Bonus & .5% (3.12%),$200 Bonus,"$1,000 spend",No annual fee,,,"Read our review No annual fee. $200 bonus requires $1,000 spend. They also have a bonus .5% cashback for the first year which makes it unlimited 2%, or unlimited 3.12% for those with the highest-tier BofA relationship status.",Doctor of Credit,https://www.doctorofcredit.com/best-current-credit-card-sign-bonuses/,2026-06-19
94,Citi Custom Cash,"Citi Custom Cash – $200/20,000 Points",$200,"$1,500 spend",,,,"Read our review Get $200 or 20,000 ThankYou points with $1,500 spend. There’s also a branch offer for $300/30,000 points.",Doctor of Credit,https://www.doctorofcredit.com/best-current-credit-card-sign-bonuses/,2026-06-19
